venue,year,total_papers,sampled_papers,radiology_papers,ai_papers,pediatric_papers,radiology_fraction,ai_fraction,pediatric_fraction
CVPR,2016,838,500,5,93,0,0.01,0.186,0.0
CVPR,2017,1066,400,0,94,0,0.0,0.235,0.0
CVPR,2018,1331,500,1,108,0,0.002,0.216,0.0
CVPR,2019,1910,500,2,114,1,0.004,0.228,0.002
CVPR,2020,1990,500,6,101,0,0.012,0.202,0.0
CVPR,2021,2179,500,2,101,0,0.004,0.202,0.0
CVPR,2022,2634,500,2,110,0,0.004,0.22,0.0
CVPR,2023,3056,500,6,103,0,0.012,0.206,0.0
CVPR,2024,3536,500,12,93,0,0.024,0.186,0.0
CVPR,2025,3545,500,12,95,2,0.024,0.19,0.004
ICCV,2017,994,500,0,100,1,0.0,0.2,0.002
ICCV,2019,1640,500,0,106,0,0.0,0.212,0.0
ICCV,2021,2078,500,4,109,0,0.008,0.218,0.0
ICCV,2023,2656,500,8,110,0,0.016,0.22,0.0
ICCV,2025,3498,500,19,84,0,0.038,0.168,0.0
NeurIPS,2016,570,500,0,46,0,0.0,0.092,0.0
NeurIPS,2017,680,500,2,49,0,0.004,0.098,0.0
NeurIPS,2018,1011,500,0,56,0,0.0,0.112,0.0
NeurIPS,2019,1452,500,0,50,0,0.0,0.1,0.0
NeurIPS,2020,1919,500,3,53,0,0.006,0.106,0.0
NeurIPS,2021,2566,500,1,67,0,0.002,0.134,0.0
NeurIPS,2022,2853,500,2,59,0,0.004,0.118,0.0
NeurIPS,2023,3541,500,3,63,0,0.006,0.126,0.0
NeurIPS,2024,4495,500,4,45,0,0.008,0.09,0.0
NeurIPS,2025,5824,500,4,59,0,0.008,0.118,0.0
ICML,2016,323,323,0,27,0,0.0,0.0836,0.0
ICML,2017,435,400,1,35,0,0.0025,0.0875,0.0
ICML,2018,622,500,0,53,0,0.0,0.106,0.0
ICML,2019,775,500,0,60,0,0.0,0.12,0.0
ICML,2020,1086,500,0,45,0,0.0,0.09,0.0
ICML,2021,1184,500,1,54,0,0.002,0.108,0.0
ICML,2022,1250,500,0,59,0,0.0,0.118,0.0
ICML,2023,1829,500,1,69,0,0.002,0.138,0.0
ICML,2024,2611,500,0,60,0,0.0,0.12,0.0
ICML,2025,3343,500,1,54,0,0.002,0.108,0.0
ICLR,2016,81,81,0,19,0,0.0,0.2346,0.0
ICLR,2017,311,311,0,63,0,0.0,0.2026,0.0
ICLR,2018,533,500,0,91,0,0.0,0.182,0.0
ICLR,2019,503,500,0,71,0,0.0,0.142,0.0
ICLR,2020,688,500,0,74,0,0.0,0.148,0.0
ICLR,2021,861,500,0,81,0,0.0,0.162,0.0
ICLR,2022,1095,500,1,70,0,0.002,0.14,0.0
ICLR,2023,1794,500,1,64,0,0.002,0.128,0.0
ICLR,2024,2456,500,1,72,1,0.002,0.144,0.002
ICLR,2025,3705,500,2,56,0,0.004,0.112,0.0
