society,journals,year,total_articles,ai_articles,ai_fraction
RSNA,Radiology; Radiographics; Radiol Artif Intell,2016,803,11,0.0137
RSNA,Radiology; Radiographics; Radiol Artif Intell,2017,763,27,0.0354
RSNA,Radiology; Radiographics; Radiol Artif Intell,2018,845,76,0.0899
RSNA,Radiology; Radiographics; Radiol Artif Intell,2019,839,133,0.1585
RSNA,Radiology; Radiographics; Radiol Artif Intell,2020,910,174,0.1912
RSNA,Radiology; Radiographics; Radiol Artif Intell,2021,1011,197,0.1949
RSNA,Radiology; Radiographics; Radiol Artif Intell,2022,996,213,0.2139
RSNA,Radiology; Radiographics; Radiol Artif Intell,2023,1028,224,0.2179
RSNA,Radiology; Radiographics; Radiol Artif Intell,2024,884,214,0.2421
RSNA,Radiology; Radiographics; Radiol Artif Intell,2025,859,210,0.2445
RSNA,Radiology; Radiographics; Radiol Artif Intell,2026,411,105,0.2555
ACR,J Am Coll Radiol,2016,486,5,0.0103
ACR,J Am Coll Radiol,2017,558,14,0.0251
ACR,J Am Coll Radiol,2018,589,44,0.0747
ACR,J Am Coll Radiol,2019,499,49,0.0982
ACR,J Am Coll Radiol,2020,489,39,0.0798
ACR,J Am Coll Radiol,2021,392,34,0.0867
ACR,J Am Coll Radiol,2022,364,24,0.0659
ACR,J Am Coll Radiol,2023,457,60,0.1313
ACR,J Am Coll Radiol,2024,479,54,0.1127
ACR,J Am Coll Radiol,2025,481,78,0.1622
ACR,J Am Coll Radiol,2026,288,54,0.1875
ECR,Eur Radiol; Insights Imaging; Eur Radiol Exp,2016,975,6,0.0062
ECR,Eur Radiol; Insights Imaging; Eur Radiol Exp,2017,932,19,0.0204
ECR,Eur Radiol; Insights Imaging; Eur Radiol Exp,2018,1093,82,0.075
ECR,Eur Radiol; Insights Imaging; Eur Radiol Exp,2019,1174,159,0.1354
ECR,Eur Radiol; Insights Imaging; Eur Radiol Exp,2020,1384,262,0.1893
ECR,Eur Radiol; Insights Imaging; Eur Radiol Exp,2021,1547,352,0.2275
ECR,Eur Radiol; Insights Imaging; Eur Radiol Exp,2022,1531,462,0.3018
ECR,Eur Radiol; Insights Imaging; Eur Radiol Exp,2023,1810,573,0.3166
ECR,Eur Radiol; Insights Imaging; Eur Radiol Exp,2024,1733,525,0.3029
ECR,Eur Radiol; Insights Imaging; Eur Radiol Exp,2025,1734,525,0.3028
ECR,Eur Radiol; Insights Imaging; Eur Radiol Exp,2026,1121,363,0.3238
SPR,Pediatr Radiol,2016,276,1,0.0036
SPR,Pediatr Radiol,2017,292,1,0.0034
SPR,Pediatr Radiol,2018,299,1,0.0033
SPR,Pediatr Radiol,2019,282,4,0.0142
SPR,Pediatr Radiol,2020,319,5,0.0157
SPR,Pediatr Radiol,2021,416,19,0.0457
SPR,Pediatr Radiol,2022,398,36,0.0905
SPR,Pediatr Radiol,2023,358,28,0.0782
SPR,Pediatr Radiol,2024,334,25,0.0749
SPR,Pediatr Radiol,2025,403,38,0.0943
SPR,Pediatr Radiol,2026,245,40,0.1633
