full_name,stars,forks,language,created_at,description,url
JunMa11/SegLossOdyssey,4008,611,Python,2019-05-30T15:25:37Z,A collection of loss functions for medical image segmentation,https://github.com/JunMa11/SegLossOdyssey
Beckschen/TransUNet,3206,585,Python,2021-02-08T06:12:54Z,"This repository includes the official project of TransUNet, presented in our paper: TransUNet: Transformers Make Strong Encoders for Medical Image Segmentation.",https://github.com/Beckschen/TransUNet
HiLab-git/SSL4MIS,2655,423,Python,2020-09-25T03:39:19Z,"Semi Supervised Learning for Medical Image Segmentation, a collection of literature reviews and code implementations.",https://github.com/HiLab-git/SSL4MIS
HuCaoFighting/Swin-Unet,2402,363,Python,2021-05-03T07:37:40Z,"[ECCVW 2022] The codes for the work ""Swin-Unet: Unet-like Pure Transformer for Medical Image Segmentation""",https://github.com/HuCaoFighting/Swin-Unet
ellisdg/3DUnetCNN,2209,668,Python,2017-02-01T19:24:34Z,Pytorch 3D U-Net Convolution Neural Network (CNN) designed for medical image segmentation,https://github.com/ellisdg/3DUnetCNN
ozan-oktay/Attention-Gated-Networks,2061,435,Python,2018-04-02T21:50:07Z,Use of Attention Gates in a Convolutional Neural Network / Medical Image Classification and Segmentation,https://github.com/ozan-oktay/Attention-Gated-Networks
black0017/MedicalZooPytorch,1911,305,Python,2019-07-23T11:00:46Z,A pytorch-based deep learning framework for multi-modal 2D/3D medical image segmentation,https://github.com/black0017/MedicalZooPytorch
JunMa11/SOTA-MedSeg,1678,204,,2017-05-06T15:56:19Z,SOTA medical image segmentation methods based on various challenges,https://github.com/JunMa11/SOTA-MedSeg
YichiZhang98/SAM4MIS,1107,79,,2023-04-26T17:47:57Z,Segment Anything Model for Medical Image Segmentation:  Open-Source Project Summary,https://github.com/YichiZhang98/SAM4MIS
uni-medical/SAM-Med3D,931,119,Python,2023-10-23T15:41:07Z,SAM-Med3D: An Efficient General-purpose Promptable Segmentation Model for 3D Volumetric Medical Image,https://github.com/uni-medical/SAM-Med3D
ANTsX/ANTsPy,875,179,Python,2017-08-28T18:00:57Z,"A fast medical imaging analysis library in Python with algorithms for registration, segmentation, and more.",https://github.com/ANTsX/ANTsPy
jeya-maria-jose/Medical-Transformer,862,176,Python,2021-02-14T03:00:14Z,"Official Pytorch Code for ""Medical Transformer: Gated Axial-Attention for Medical Image Segmentation"" - MICCAI 2021",https://github.com/jeya-maria-jose/Medical-Transformer
JCruan519/VM-UNet,853,53,Python,2024-02-04T09:52:28Z,"(ACM TOMM) This is the official code repository for ""VM-UNet: Vision Mamba UNet for Medical Image Segmentation"".",https://github.com/JCruan519/VM-UNet
rezazad68/BCDU-Net,786,277,Python,2019-06-22T10:59:00Z,BCDU-Net : Medical Image Segmentation,https://github.com/rezazad68/BCDU-Net
AngeLouCN/Min_Max_Similarity,763,250,Python,2022-03-29T01:26:59Z,A contrastive learning based semi-supervised segmentation network for medical image segmentation,https://github.com/AngeLouCN/Min_Max_Similarity
mattmacy/vnet.pytorch,752,202,Python,2017-03-08T04:13:12Z,A PyTorch implementation for V-Net: Fully Convolutional Neural Networks for Volumetric Medical Image Segmentation,https://github.com/mattmacy/vnet.pytorch
hitachinsk/SAMed,610,60,Python,2023-04-17T09:06:03Z,"The implementation of the technical report: ""Customized Segment Anything Model for Medical Image Segmentation""",https://github.com/hitachinsk/SAMed
JJGO/UniverSeg,587,59,Python,2023-03-30T16:09:53Z,UniverSeg: Universal Medical Image Segmentation,https://github.com/JJGO/UniverSeg
microsoft/InnerEye-DeepLearning,583,145,Python,2020-04-29T09:15:05Z,Medical Imaging Deep Learning library to train and deploy 3D segmentation models on Azure Machine Learning,https://github.com/microsoft/InnerEye-DeepLearning
ge-xing/SegMamba,567,47,Python,2024-01-23T08:08:08Z,SegMamba: Long-range Sequential Modeling Mamba For 3D Medical Image Segmentation,https://github.com/ge-xing/SegMamba
jeya-maria-jose/UNeXt-pytorch,567,84,Python,2022-03-08T15:57:29Z,"Official Pytorch Code base for ""UNeXt: MLP-based Rapid Medical Image Segmentation Network"", MICCAI 2022",https://github.com/jeya-maria-jose/UNeXt-pytorch
CUHK-AIM-Group/U-KAN,543,70,Python,2024-06-04T03:29:46Z,[AAAI' 25] U-KAN Makes Strong Backbone for Medical Image Segmentation and Generation,https://github.com/CUHK-AIM-Group/U-KAN
Amshaker/unetr_plus_plus,529,59,Python,2022-12-09T00:14:49Z,[IEEE TMI-2024] UNETR++: Delving into Efficient and Accurate 3D Medical Image Segmentation,https://github.com/Amshaker/unetr_plus_plus
MIC-DKFZ/MedNeXt,512,67,Python,2023-06-13T15:24:20Z,[MICCAI 2023] MedNeXt is a fully ConvNeXt architecture for 3D medical image segmentation.,https://github.com/MIC-DKFZ/MedNeXt
WZH0120/SAM2-UNet,511,58,Python,2024-08-15T18:54:36Z,[VINT 2026] SAM2-UNet: Segment Anything 2 Makes Strong Encoder for Natural and Medical Image Segmentation,https://github.com/WZH0120/SAM2-UNet
cheng-01037/Self-supervised-Fewshot-Medical-Image-Segmentation,470,53,Python,2020-09-06T09:32:44Z,[ECCV'20] Self-supervision with Superpixels: Training Few-shot Medical Image Segmentation without Annotation (code&data-processing pipeline),https://github.com/cheng-01037/Self-supervised-Fewshot-Medical-Image-Segmentation
sinAshish/Multi-Scale-Attention,465,95,Python,2019-06-06T13:04:46Z,"[JBHI] Code for our paper ""Multi-scale Guided Attention for Medical Image Segmentation""",https://github.com/sinAshish/Multi-Scale-Attention
Rubics-Xuan/TransBTS,446,94,Python,2021-03-05T10:43:04Z,"This repo provides the official code for : 1) TransBTS: Multimodal Brain Tumor Segmentation Using Transformer (https://arxiv.org/abs/2103.04430) , accepted by MICCAI2021.  2) TransBTSV2: Towards Better and More Efficient Volumetric Segmentation of Medical Images(https://arxiv.org/abs/2201.12785).",https://github.com/Rubics-Xuan/TransBTS
MrBlankness/LightM-UNet,441,38,Python,2024-03-08T03:52:51Z,"Pytorch implementation of ""LightM-UNet: Mamba Assists in Lightweight UNet for Medical Image Segmentation""",https://github.com/MrBlankness/LightM-UNet
Xiaoqi-Zhao-DLUT/MSNet-M2SNet,441,15,Python,2021-06-16T11:32:10Z,(MICCAI 2021 [MSNet] & MICCAI 2022 GOALS Challenge [M2SNet]) Multi-scale in Multi-scale Subtraction Network for Medical Image Segmentation,https://github.com/Xiaoqi-Zhao-DLUT/MSNet-M2SNet
pyushkevich/itksnap,437,122,C++,2014-04-23T06:46:21Z,ITK-SNAP medical image segmentation tool,https://github.com/pyushkevich/itksnap
frankkramer-lab/MIScnn,424,118,Python,2019-05-09T14:53:48Z,A framework for Medical Image Segmentation with Convolutional Neural Networks and Deep Learning,https://github.com/frankkramer-lab/MIScnn
databricks-industry-solutions/pixels,417,128,JavaScript,2022-11-10T21:12:59Z,"Facilitates simple large scale processing of HLS Medical images, documents, zip files. OHIF Viewer, 2 segmentation models and interactive learning.",https://github.com/databricks-industry-solutions/pixels
xamyzhao/brainstorm,404,89,Python,2019-02-01T18:42:08Z,"Implementation of ""Data augmentation using learned transforms for one-shot medical image segmentation""",https://github.com/xamyzhao/brainstorm
