year,all_radiology,radiology_ai,pediatric_radiology,pediatric_radiology_ai,ai_share_of_radiology,pediatric_share_of_radiology_ai,ai_share_of_pediatric_radiology
2008,99964,802,18231,63,0.00802,0.07855,0.00346
2009,106437,788,19031,59,0.0074,0.07487,0.0031
2010,114610,616,20894,51,0.00537,0.08279,0.00244
2011,124890,559,22458,66,0.00448,0.11807,0.00294
2012,134258,630,24034,66,0.00469,0.10476,0.00275
2013,142799,752,26062,79,0.00527,0.10505,0.00303
2014,152249,856,28609,122,0.00562,0.14252,0.00426
2015,161552,1004,30127,150,0.00621,0.1494,0.00498
2016,169194,1295,31337,175,0.00765,0.13514,0.00558
2017,175723,1941,33256,244,0.01105,0.12571,0.00734
2018,181399,3293,34085,405,0.01815,0.12299,0.01188
2019,188971,5403,34745,607,0.02859,0.11234,0.01747
2020,221322,8739,38652,860,0.03949,0.09841,0.02225
2021,240419,12629,39928,1135,0.05253,0.08987,0.02843
2022,225791,15487,34488,1237,0.06859,0.07987,0.03587
2023,213818,17211,32598,1478,0.08049,0.08588,0.04534
2024,223048,20806,37295,2176,0.09328,0.10459,0.05835
2025,239586,27011,40954,2980,0.11274,0.11033,0.07276
