record_id,year,title,clinical_problem,topics,dataset_mentions
38475972,2026,Machine Learning Algorithms for Predicting Cobb Angle Beyond 25° in Female Adolescent Idiopathic Scoliosis Patients.,"predicting which female adolescents with idiopathic scoliosis will progress to a Cobb angle beyond 25°, using minimal radiographic and questionnaire data collected at the first visit",Scoliosis / spine deformity,
38578898,2026,Brain Alteration Patterns in Children with Duchenne Muscular Dystrophy: A Machine Learning Approach to Magnetic Resonance Imaging.,"whether the absent dystrophin in Duchenne muscular dystrophy leaves a detectable mark on the brain, which would explain the cognitive and behavioral features",Brain development / cognition,
40018794,2026,Diagnostic accuracy of convolutional neural network algorithms to distinguish gastrointestinal obstruction on conventional radiographs in a pediatric population.,"differentiating normal pediatric abdominal radiographs from gastrointestinal dilatation/obstruction, and surgical from non-surgical causes",,
40038120,2026,Predicting Cardiac Magnetic Resonance-Derived Ejection Fraction from Echocardiogram Via Deep Learning Approach in Tetralogy of Fallot.,Can a deep learning model predict cardiac MRI-derived ejection fraction from echocardiogram videos in children with Tetralogy of Fallot?,Cardiac / congenital heart,
40222403,2026,"Perceived Racism, Brain Development, and Internalizing and Externalizing Symptoms: Findings From the ABCD Study.",assessing effects of perceived racial discrimination on longitudinal subcortical functional connectivity changes and internalizing/externalizing symptoms in adolescents,Brain development / cognition,ABCD
40239713,2026,Use of Artificial Intelligence in Recognition of Fetal Open Neural Tube Defect on Prenatal Ultrasound.,recognizing open fetal neural tube defect (open spina bifida) via the lemon sign on axial cranial ultrasound using deep learning,Fetal assessment / prenatal,
40268837,2026,Automated Neonatal Hip Ultrasound System for Diagnosing Developmental Dysplasia of Hips Using Assistive AI.,Can an AI-assisted portable ultrasound system diagnose developmental dysplasia of the hip in newborns?,Hip dysplasia,
40325325,2026,A Deep Learning-Based Framework for Automatic Determination of Developmental Dysplasia of the Hip from Graf Angles.,Can a deep learning framework automatically determine Graf angles from newborn hip ultrasound for DDH diagnosis?,Hip dysplasia,
40351113,2026,Evaluating the reference accuracy of large language models in radiology: a comparative study across subspecialties.,"evaluating whether large language models can generate accurate, non-fabricated bibliographic references for radiology literature review/education questions, including in pediatric radiology",,
40425959,2026,Deep Learning Auto-segmentation of Diffuse Midline Glioma on Multimodal Magnetic Resonance Images.,"Automatic segmentation of diffuse midline glioma (DMG) on multimodal brain MRI to support tumor assessment in this rare, poor-prognosis pediatric brainstem cancer.",Brain / CNS tumors,
40500925,2026,Identification of Atypical Scoliosis Patterns Using X-ray Images Based on Fine-Grained Techniques in Deep Learning.,"Screening for scoliosis and, further, for atypical scoliosis patterns associated with Chiari Malformation type I using spinal X-rays.",Scoliosis / spine deformity,
40576676,2026,Automated Sella-Turcica Annotation and Mesh Alignment of 3D Stereophotographs for Craniosynostosis Patients Using a PCA-FFNN Based Approach.,"Noninvasively predicting the Sella turcica reference point for aligning 3D cranial stereophotographs in infants with craniosynostosis, to avoid the radiation of repeated CT for cranial morphology assessment.",,
